"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing"
1,34,"queen",30,117,2,4,2930,0.6384,1.0069,0.9348,13.4155,0.3319,0.3425,0.5475,0.127703703703704,0.849481481481482,0,0.0228148148148148,0,1,0,0,2.99767981438515,8.76488664108825
1,35,"queen",30,96,2,3,2466,0.3126,0.9912,1.0108,18.8416,0.412,0.6165,2.276,0.368888888888889,0.528,0.0124444444444444,0.0906666666666667,0.0708446866485014,0.809264305177112,0.114441416893733,0.00544959128065395,4.65220883534137,6.65998316498317
1,36,"queen",30,74,4,3,3113,0.7004,1.0477,1.0888,13.1915,0.4553,0.2347,4.9508,0.10162962962963,0.888888888888889,0,0.00948148148148148,0.0517711171662125,0.94550408719346,0,0.00272479564032698,1.99416909620991,5.75016333333333
1,37,"queen",30,113,2,4,2063,0.509,1.0911,0.9856,8.9757,0.9494,0.4445,0.016,0.266666666666667,0.690666666666667,0,0.0426666666666667,0,1,0,0,4.95555555555556,10.5953196053196
1,38,"queen",30,103,3,1,1953,0.6626,1.0067,0.9193,10.1486,0.8532,0.1073,3.1995,0.204740740740741,0.765333333333333,0,0.0299259259259259,0.155313351498638,0.831062670299727,0,0.0136239782016349,3.14327062228654,5.58239256678281
1,39,"queen",30,92,3,4,2836,0.9616,1.0021,0.9528,13.7718,0.4757,0.9281,3.8095,0.0447407407407407,0.939555555555556,0.0082962962962963,0.00740740740740741,0.0108991825613079,0.907356948228883,0.0762942779291553,0.00544959128065395,0.847682119205298,6.56415957111321
1,40,"queen",30,85,2,3,2258,0.4984,0.9959,1.0483,8.0087,0.9869,0.1583,0.5823,0.181333333333333,0.776592592592593,0,0.0420740740740741,0,1,0,0,4.18300653594771,11.1299160625715
1,1,"queen",30,72,4,3,2818,0.317,1.0124,0.9557,9.9122,0.7539,0.4122,3.5211,0.305777777777778,0.631111111111111,0,0.0631111111111111,0.209809264305177,0.732970027247956,0,0.0572207084468665,3.77713178294574,5.5601455399061
1,2,"queen",30,69,4,3,3539,0.2389,0.9278,0.997,15.8838,0.2033,0.8486,3.954,0.240888888888889,0.659555555555556,0.0186666666666667,0.0808888888888889,0.0463215258855586,0.782016348773842,0.171662125340599,0,3.51045510455105,5.63366576819407
1,3,"queen",30,107,3,2,1825,0.6886,0.964,1.0916,5.6831,0.8576,0.9254,3.871,0.157037037037037,0.815111111111111,0.016,0.0118518518518519,0.0572207084468665,0.795640326975477,0.147138964577657,0,2.49056603773585,5.14018175209015
